complaint,category,priority,department
Dustbin overflowing in our area from last night.,Sanitation,Medium,sanitation
Speed breaker damaged near school since yesterday. Causing traffic issues.,Road & Infrastructure,Medium,roads
Drain cover broken near bridge for 3 days.,Drainage & Sewage,Medium,drainage
Cows blocking road near park for 3 days.,Animal Control,Medium,animals
Stray animals near school in our area for 3 days.,Animal Control,Medium,animals
Water supply is not coming in my street since yesterday.,Water Supply,Medium,water
There is a water pipeline leak near bus stop from last month.,Water Supply,Medium,water
Electrocution hazard near junction for 1 week. Very dangerous.,Emergency,High,emergency
Dirty water is coming in tap near bus stop for 3 days.,Water Supply,Medium,water
Lamp post broken near bridge since morning.,Street Lights,Medium,streetlights
Waste dumped openly near bridge from last month.,Sanitation,Medium,sanitation
There is a unbearable pothole near bus stop daily.,Road & Infrastructure,Medium,roads
Dustbin overflowing near junction for 3 days.,Sanitation,Medium,sanitation
Voltage fluctuation behind the apartment after rain. Appliances are getting damaged.,Electricity,Medium,electricity
Power cut near school since yesterday.,Electricity,Medium,electricity
Aggressive stray dog bite risk in 2nd street every morning.,Animal Control,High,animals
Street light not working in 2nd street from last month.,Street Lights,Medium,streetlights
Road surface is damaged near market daily. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Flickering street light in our area for 3 days.,Street Lights,Medium,streetlights
Need help regarding civic issue in our area from last night.,General,Medium,general
Transformer sparking in our area from last night.,Electricity,High,electricity
Electrocution hazard in our area every morning. Very dangerous.,Emergency,High,emergency
Gas leak smell near market from last night. Please respond fast.,Emergency,High,emergency
Broken footpath in 2nd street since morning. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Flickering street light near hospital from last night.,Street Lights,High,streetlights
Mosquito problem is serious in 2nd street daily. Dengue risk.,Health & Hygiene,Medium,health
Fever cases increasing due to mosquitoes near school every morning.,Health & Hygiene,Medium,health
Dirty water is coming in tap behind the apartment for 1 week.,Water Supply,Medium,water
Gas leak smell near park from last month. Please respond fast.,Emergency,High,emergency
Garbage is not collected near bus stop since morning.,Sanitation,Medium,sanitation
There is a water pipeline leak near railway gate from last night.,Water Supply,Medium,water
Public toilet is dirty near school for 3 days.,Health & Hygiene,Medium,health
Accident happened near bridge from last month. Ambulance required.,Emergency,High,emergency
Gas leak smell near temple for 1 week. Please respond fast.,Emergency,High,emergency
Gas leak smell near bridge since yesterday. Please respond fast.,Emergency,High,emergency
Dustbin overflowing near junction from last month.,Sanitation,Medium,sanitation
Public toilet is dirty in our area daily.,Health & Hygiene,Medium,health
Manhole overflow near market since morning.,Drainage & Sewage,Medium,drainage
Sewage overflow near bus stop since morning. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Mosquito problem is getting worse near temple after rain. Dengue risk.,Health & Hygiene,Medium,health
Multiple street lights damaged near temple since morning.,Street Lights,Medium,streetlights
Drain cover broken near junction for 1 week.,Drainage & Sewage,Medium,drainage
Dog barking and chasing vehicles in 2nd street from last month.,Animal Control,Medium,animals
Flickering street light in my street since yesterday.,Street Lights,Medium,streetlights
Fire incident reported near bus stop from last night. Need immediate help.,Emergency,High,emergency
Garbage is not collected near bus stop from last night.,Sanitation,Medium,sanitation
Street light not working near school for 3 days.,Street Lights,Medium,streetlights
Low water pressure in 2nd street for 3 days.,Water Supply,Medium,water
Electric pole wire loose in my street for 3 days.,Electricity,Medium,electricity
Drainage is blocked in our area for 1 week. Water is overflowing.,Drainage & Sewage,Medium,drainage
Public toilet is dirty at main road since morning.,Health & Hygiene,Medium,health
Need help regarding civic issue near park daily.,General,Medium,general
There is a water pipeline leak behind the apartment daily.,Water Supply,Medium,water
Garbage is not collected near temple for 1 week.,Sanitation,Medium,sanitation
Dead animal not removed at main road every morning.,Sanitation,Medium,sanitation
Bad smell and hygiene issue near bridge every morning.,Health & Hygiene,Medium,health
Power cut near temple from last month.,Electricity,Medium,electricity
Accident happened near bridge for 3 days. Ambulance required.,Emergency,High,emergency
Sewage overflow near bridge from last night. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Transformer sparking in my street for many days.,Electricity,High,electricity
Dustbin overflowing in our area every morning.,Sanitation,Medium,sanitation
Electricity not available at main road for 1 week.,Electricity,Medium,electricity
Lamp post broken at main road after rain.,Street Lights,Medium,streetlights
Drain water stagnation near temple for many days.,Drainage & Sewage,Medium,drainage
Accident happened near hospital for 3 days. Ambulance required.,Emergency,High,emergency
Public toilet is dirty near junction since morning.,Health & Hygiene,Medium,health
Aggressive stray dog bite risk in our area since morning.,Animal Control,High,animals
Public toilet is dirty in 2nd street since yesterday.,Health & Hygiene,Medium,health
Fire incident reported near park daily. Need immediate help.,Emergency,High,emergency
Drain cover broken near school after rain.,Drainage & Sewage,Medium,drainage
Voltage fluctuation in 2nd street since morning. Appliances are getting damaged.,Electricity,Medium,electricity
Electricity not available at main road for many days.,Electricity,Medium,electricity
Bad smell and hygiene issue near railway gate every morning.,Health & Hygiene,Medium,health
Complaint about local problem in 2nd street since yesterday.,General,Medium,general
Sewage overflow in my street from last night. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Need help regarding civic issue near bridge from last month.,General,Medium,general
Electric pole wire loose in 2nd street daily.,Electricity,Medium,electricity
Sewage overflow at main road since yesterday. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Sewage overflow near school since yesterday. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Complaint about local problem near junction since morning.,General,Medium,general
Broken footpath near railway gate for 1 week. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Stray animals near school near school from last night.,Animal Control,Medium,animals
Multiple street lights damaged near railway gate for many days.,Street Lights,Medium,streetlights
Bad smell and hygiene issue near school for many days.,Health & Hygiene,Medium,health
Bad smell and hygiene issue near junction since morning.,Health & Hygiene,Medium,health
Flickering street light at main road for 3 days.,Street Lights,Medium,streetlights
Speed breaker damaged near park since yesterday. Causing traffic issues.,Road & Infrastructure,Medium,roads
Electric pole wire loose near temple daily.,Electricity,Medium,electricity
Broken footpath near park for many days. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Stagnant water causing mosquitoes behind the apartment for 1 week.,Health & Hygiene,Medium,health
Dustbin overflowing in my street for 1 week.,Sanitation,Medium,sanitation
Garbage is not collected near park daily.,Sanitation,Medium,sanitation
Need help regarding civic issue near hospital for 3 days.,General,High,general
Road surface is damaged in 2nd street from last month. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Gas leak smell in 2nd street from last night. Please respond fast.,Emergency,High,emergency
